Wine_Id,Name,Type,DO,Size,Grape,Ageing,Sight,Smell,Taste,Pairing
11,Vino Campo Viejo,Tintos,D.O Rioja,"0,75L","Graciano,Mazuelo,Tempranillo",12 meses en barrica de roble americano y francés y 6 meses en botella,Rojo cereza con borde dorado brillante,"Frutas, hierbas, vainilla y coco","Suave, delicado y refrescante","Carnes, embutidos, quesos, caza, asados"
12,Vino Pata Negra,Tintos,D.O Ribera del Duero,"0,75L","Tempranillo,Cabernet sauvignon,Merlot",6 meses en barrica de roble francés,Cereza intenso con ribete azulado,Frutos rojos y toques especiados,"Fresco, equilibrado, con taninos bien estructurados",Carnes y guisos
13,Vino Roca Mora,Tintos,D.O Cataluña,"0,75L","Tempranillo,Garnacha",Sin crianza,Rojo cereza,"Limpio, afrutado y con suaves confituras",Agradable con final persistente,"Carnes rojas y blancas, estofados, quesos "
14,Valpincia,Tintos,D.O Ribera del Duero,,Tempranillo,12 meses en barrica de roble francés y 12 meses en botella,Rojo rubí,"Aromas de matices a cacao con tonos a vainilla, barquillo y canela","Entrada en boca larga, agradable y sin aristas, conjugándose perfectamente fruta y madera","Carnes rojas a la parrilla, caza menor, carnes blancas con salsas y quesos curados"
15,Vino Protos,Tintos,D.O Ribera del Duero,"0,75L",Tempranillo,6 meses en barrica de roble americano y 6 meses en botella,Rojo cereza con ribete púrpura,"Fruta fresca, especias dulces y bayas rojas","Intenso, afrutado, tostado con taninos redondos y buen final","Carnes, caza, cereales y pastas, pescados, quesos, fiambres, huevos"
16,Vino Raimat Abadia,Tintos,D.O Costers del Segre,"0,75L","Cabernet sauvignon,Tempranillo",10 meses en barrica de roble francés y americano,Rojo picota con matices violáceos,"Fruta negra, compota, tabaco, pimienta, clavo y toques de chocolate negro","Estructurado, fino y elegante, con postgusto largo","Quesos curados, verduras, carnes, legumbres y pastas"
17,Vino Señorío de los Llanos,Tintos,D.O Valdepeñas,"0,75L",Tempranillo,6 meses en barrica de roble americano y 3 meses más en botella,Rojo intenso con tonos tejas,Sobresalen aromas de crianza,Agradable y ligero,"Aperitivos, carnes, asados, caza, guisos"
18,Vino Garbo Roure,Tintos,D.O Montsant,"0,75L","Tempranillo,Merlot",3 meses en barrica de roble,"Rojo guinda brillante, con ribete violáceo",Fruta fresca con notas balsámicas,"Lleno de sabor, con influencias del periodo corto de tiempo en la madera","Carnes rojas a la brasa, guisos de carne, pastas"
19,Vino Viña Albali,Tintos,D.O Valdepeñas,"0,75L",Tempranillo,6 meses en barrica de roble americano y entre 2-3 años en botella,Rubí intenso,"Frutos rojos maduros, roble y especias",Agradable y suave con buena expresión tánica y un final prolongado,Asados y tapas frías y calientes
20,Vino Castillo de Albai,Tintos,D.O Rioja,"0,187L",Tempranillo,Sin crianza,Intenso color cereza con tonos violáceos,"Aromas a fresa, frutos rojos y flores","Aromas bien reflejados en boca, con taninos armoniosos y prolongado postgusto","Carnes rojas, pasta, queso y paella"
21,Vino Sabatacha,Tintos,D.O Jumilla,"0,75L",Monastrell,6 meses en barrica de roble americano,Cereza con capa media,"Frutos rojos maduros, madera nueva y vainilla",Bien estructurado con taninos elegantes,"Arroces, guisos, legumbres, estofados de carne, embutidos, asados, quesos de corta curación"
22,Vino Juan de Juanes ,Tintos,D.O Valencia,"0,75L",Petit verdot,9 meses en barrica,Picota brillante con reflejos violáceos,"Frutas rojas, negras y banana combinado con grafito y notas tostadas","Fresco, con cuerpo y taninos bien integrados","Carnes, quesos, arroces y pastas"
23,Vino Lagunilla,Tintos,D.O Rioja,"0,75L","Tempranillo,Garnacha",12 meses en barrica de roble y 12 meses en botella,Rojo rubí profundo,Notas de hoja de tabaco y vainilla fresca,"De cuerpo medio, estructurado y equilibrado","Carnes rojas y blancas, aves de corral, pastas y quesos"
24,Gran Bajoz,Tintos,D.O Toro,,Tempranillo,12 meses en barrica de roble y 3 meses en botella ,Cereza oscura con reflejos violáceos,"Frutas rojas y negras, confitura de ciruelas y café","Potente, sabroso, tostado y con taninos muy pulidos","Carnes asadas, entrantes potentes o cocina moderna"
25,Vino Rayuelo,Tintos,D.O Manchuela,"0,75L","Malbec,Bobal,Monastrell",8 meses en barrica de roble francés,Púrpura intenso,"Frutas rojas, compotas y mermeladas",Bien estructurado con taninos elegantes,"Carnes rojas, quesos semicurados y embutidos"
26,Vino Monasterio de las Viñas,Tintos,D.O Cariñena,"0,75L","Cariñena,Cabernet sauvignon,Tempranillo,Garnacha",6 meses barrica de roble francés y americano,Rubí con ribete granate,"Afrutado y especiado con sensaciones de arándanos, frambuesa, clavo y ahumados","Suave y equilibrado, con toques a frutos rojos y pimienta",Platos con hierbas aromáticas o ahumados
27,Vino Las Dos Ces,Tintos,D.O Utiel-Requena,"0,75L","Bobal,Syrah,Tempranillo",5 meses en barrica de allier francés,Rojo picota con ribete violáceo,Fruta roja y aromas tostados,"Fresco, suave e intenso","Sushi, pescado ligero, carne blanca, mariscos, pastas y arroces"
28,Vino Viña Albali,Tintos,D.O Valdepeñas,"0,75L",Tempranillo,18 meses en barrica de roble americano y entre 3 y 6 años en botella,Rubí con matices anaranjados,"Frutas rojas, cuero, pimienta verde y especias","Equilibrado y expresivo, redondo y con taninos pulidos","Carnes, guisos y quesos curados"
29,Vino Juan de Juanes ,Tintos,D.O Valencia,"0,75L","Cabernet franc,Syrah,Cabernet sauvignon,Merlot",14 meses en barrica,Rojo picota muy intenso con ribete violáceo,Bayas negras y notas tostadas provenientes de la barrica,"Potente, con gran balance entre fruta y tostado de barrica","Carnes, quesos, arroces y pastas"
30,Celeste Roble,Tintos,D.O Ribera del Duero,,Tempranillo,3 meses en barrica,Cereza oscuro,Marcado aroma a frutas (arándanos),"Firme en boca, bien estructurado con taninos elegantes",Para carnes en general
31,Vino Clos Mustardo,Tintos,D.O Priorat,"0,75L","Cabernet sauvignon,Merlot,Garnacha",24 meses en barrica de roble francés y botella,Cereza intenso,Frutos rojos maduros y tostados,Goloso con final balsámico,"Platos de caza mayor, carnes rojas, asados"
32,Vino Bajoz,Tintos,D.O Toro,"0,75L",Tempranillo,3 meses en barrica de roble americano,Cereza intenso,"Frutas rojas, licores y vainilla","Carnoso, elegante, sabroso de gran cuerpo y persistente","Carnes rojas, asados, quesos curados y semicurados"
33,Vino Marqués de Cáceres ,Tintos,D.O Rioja,"0,75L","Graciano,Tempranillo,Garnacha",20 meses en barrica de roble francés hendido y 24 meses en botella,Oscuro con ligeros reflejos que revelan su crianza,"Frutos negros, café y notas balsámicas","Carnoso, estructurado y fresco","Pescados, charcutería fina (ibéricos), carnes asadas, estofadas o a la parrilla, foie, caza, quesos fuertes y curados"
34,Vino Berberana,Tintos,V. de la tierra de Berberana,"0,75L",Tempranillo,6 meses en barrica de roble americano,Cereza oscuro con ribete púrpura,"Frutas maduras, roble y vainilla",Suave con taninos sutiles y final equilibrado,"Tapas, quesos y embutidos"
35,Vino Château Terre Blanque,Tintos,D.O Burdeos,"0,75L","Cabernet sauvignon,Merlot",Sin crianza,Rojo picota de capa media,Aromas de frutos rojos de piedra,"Fresco, flexible, con final largo","Carnes, aves"
36,Vino Los Molinos,Tintos,D.O Valdepeñas,"0,75L",Tempranillo,18 meses en barrica de roble americano y entre 3 y 6 años en botella,Rubí con tonos ámbar,"Vainilla, madera nueva y frutos rojos",Cálido con buen equilibrio tánico,"Chuletas de cordero, empanadas de carne, quesos curados y semicurados y dátiles con bacon"
37,Vino Elefant Blanc,Tintos,D.O Montsant,"0,75L","Mazuela,Tempranillo,Merlot,Garnacha",Sin crianza,Rojo fresa con ribete granate,Frutos rojos,"Untuoso, con notas a frutas y un ligero toque mineral","Carnes, embutidos, setas y quesos semicurados"
38,Vino Conde de Caralt ,Tintos,D.O Cataluña,"0,75L","Monastrell,Tempranillo,Garnacha",Sin crianza,Rojo rubí con matices de teja brillante,Aromas frutales,Pulido y equilibrado,"Carnes, quesos "
39,Vino Beronia,Tintos,D.O Rioja,"0,75L","Mazuelo,Tempranillo,Garnacha",12 meses en barrica de roble mixtas (duelas roble americano y fondos de roble francés),Rojo cereza picota,"Frutos rojos, aromas florales, hierbas y toques minerales","Equilibrado y goloso, persistente y bien equilibrado","Asados, chuletillas a la brasa, embutido ibérico o quesos curados"
40,Vino San Asensio,Tintos,D.O Rioja,"0,75L",Tempranillo,Sin crianza,Rubí intenso,"Aromas frutales, predominan varietales",Ligero y fresco,Platos de cocido y carnes rojas
41,Vino Enterizo ,Tintos,D.O Utiel-Requena,"0,75L","Bobal,Tempranillo,Garnacha",6 meses en barrica de roble francés y americano y 12 meses en botella,Rojo cereza con tonos granates,Aromas frutales y vainilla,"Suave, estructurado con taninos bien conjugados",Carnes rojas y conejo
42,Vino Ramón Bilbao,Tintos,D.O Rioja,"0,75L",Tempranillo,14 meses en barrica de roble americano y 8 meses en botella,Rojo cereza con irisaciones rubí,Frutas maduras y maderas nobles,Fresco y armónico,"Embutidos, quesos suaves, carnes y pescados"
43,Vino Azpilicueta,Tintos,D.O Rioja,"0,75L","Graciano,Mazuelo,Tempranillo",12 meses en barrica de roble americano y francés y 6 meses en botella,"Rojo cereza, con destellos dorados","Fruta, madera tostada, vainilla, coco y especias","Limpio y brillante, recordando toques tostados","Embutidos, arroces, verduras, setas, carnes blancas y rojas"
44,Vino En Clave de Do,Tintos,D.O Almansa,"0,75L",Garnacha,4 meses en barrica de roble americano,Púrpura-violeta con visos azul oscuro,"Frutos rojos maduros, tonos balsámicos, ahumados y tostados de la crianza","Sabroso, redondo, con ligera acidez final, complejo y persistente","Carnes, caza, arroces, cordero, quesos"
45,Vino Don Ramón,Tintos,D.O Campo de Borja,"0,75L","Tempranillo,Garnacha",3 meses en barrica de roble americano y luego se completa en botella,Rojo rubí de media intensidad,Aromas complejos e intensos provenientes de la crianza,"Suave, equilibrado, persistente y buen paso por boca","Carnes, caza,quesos, guisos"
46,Vino Barón de Turís,Tintos,D.O Valencia,"0,75L","Monastrell,Tempranillo,Garnacha",6 meses en barrica de roble americano y 6 meses en botella,Rojo cereza con reflejos morados,"Complejo, frutas frescas y maduras y toques especiados","Equilibrado y redondo con taninos dulces, final sedoso, lleno y elegante","Arroces, guisos, pasta, parrilladas, quesos y setas"
47,Vino Monasterio de las Viñas,Tintos,D.O Cariñena,"0,75L","Cariñena,Cabernet sauvignon,Tempranillo,Garnacha",3 meses barrica de roble francés y americano,Rojo rubí,"Moras, ciruelas y cacao",Sabores de ciruelas y final como cerezas en licor,"Tapas, aperitivos, huevos y ahumados"
48,Vino Estola,Tintos,D.O Mancha,"0,75L",Tempranillo,12 meses en barrica de roble americano,Cereza intenso,Aromas finos y complejos,Con notas especiadas y final prolongado,"Asados, carnes rojas y quesos semicurados"
49,Vino La Tremenda,Tintos,D.O Alicante,"0,75L",Monastrell,6 meses en barrica de roble francés y americano,Rojo picota,Frutas negras y notas balsámicas,"Especiado, fresco, vivo y amplio, con taninos redondos y suaves y postgusto largo","Carnes rojas, caza, guisos, arroces"
50,Vino Icono,Tintos,D.O Valencia,"0,75L",Syrah,Sin crianza,Rojo picota intenso con ribete violáceo,"Fruta madura, aromas florales, regaliz, ahumados y chocolate","De paso medio, estructurado, muy goloso, redondo y moderadamente tánico","Carnes de caza, pavo, cerdo, comidas especiadas y quesos de cabra"
51,Vino Melior,Tintos,D.O Ribera del Duero,"0,75L",Tempranillo,6 meses en barrica ,Cardenal oscuro con ribete morado,"Frutas rojas maduras, regaliz, café y vainilla","Fresco, intenso y voluminoso","Carnes blancas, asados, legumbres y quesos de oveja"
52,Vino Hoya de Cadenas,Tintos,D.O Utiel-Requena,"0,75L",Tempranillo,12 meses en barrica de roble americano y 12 meses en botella,Rojo bermellón,Fruta madura y vainilla,Suave y aterciopelado con final elegante y especiado,"Cocinas tradicionales, embutidos, carnes y quesos"
53,Vino Perelada Crianza,Tintos,D.O Empordà,"0,75L","Syrah,Cabernet sauvignon,Merlot,Garnacha,Cariñena",12 meses en barrica de roble francés y americano,Rojo cereza intenso,"Fruta roja y negra, flores y toques de crianza","Amable, equilibrado con taninos maduros","Carnes rojas, pastas, asados, quesos"
54,Vino Ederra,Tintos,D.O Rioja,"0,75L","Tempranillo,Garnacha",12 meses en barrica de roble americano,Granate-cereza y destellos violáceos,"Frutos rojos, flores, regaliz y especias","Entrada amable, con tanino ligero y recuerdos frutales","Quesos cremosos y semicurados, embutidos, setas, legumbres y carnes"
55,Vino Enterizo ,Tintos,D.O Utiel-Requena,"0,75L","Bobal,Tempranillo",Sin crianza,Rojo cereza con destellos violáceos,Frutos rojos y cerezas negras,"Con carácter, equilibrado y sabroso","Arroces, guisos de carnes y pescados grasos, pastas, aves"
56,Vino Luzón ,Tintos,D.O Jumilla,"0,75L",Monastrell,4 meses en barrica de roble americano y francés,Rojo granate con ribete violáceo,"Goloso y expresivo, fruta madura, tostados y cremosos del roble","Vivo, afrutado y sabroso, carnoso con taninos suaves y maduros","Ensaladas, menestra de verdura, asados de ternera, carne de cerdo, pollo, pescado blanco y azul, arroces, pastas y quesos"
57,Vino Castillo San Simón,Tintos,D.O Jumilla,"0,75L","Monastrell,Tempranillo",6 meses en depósito de acero inoxidable y 6 meses en barrica de roble americano,Rojo cereza oscuro,"Complejo, notas de vainilla, canela y café, aromas frutales y los propios de la crianza","Sabroso, redondo y expresivo",Carnes rojas y asados
58,Vino Atrium,Tintos,D.O Penedès,"0,75L",Merlot,Sin crianza,Cereza oscuro,Aromas frutas rojas,Aterciopelado y sabroso con final largo,"Ternera, cerdo o pato salvaje"
59,Vino Clos Corriol,Tintos,D.O Priorat,"0,75L","Cabernet sauvignon,Merlot,Garnacha",Semi crianza en barricas y depósitos mezclando los dos al final del proceso,Cereza intenso con ribete granate,Frutas y tostados,"Cálido, redondo, paso medio y postgusto agradable",Carnes a la brasa
60,Vino Marqués de Chivé,Tintos,D.O Utiel-Requena,"0,75L",Tempranillo,12 meses en barrica de roble,Cereza picota brillante,Complejo con aromas de vainilla,"Suave, redondo, con toques de frambuesa","Paella, platos de carne, asados y quesos semicurados"
61,Vino Berberana,Tintos,V. de la tierra de Berberana,"0,75L",Tempranillo,12 meses en barrica de roble americano,Rojo rubí intenso,Frutas rojas,Cuerpo medio con toque de frutos rojos y especias,"Barbacoas, asados, pastas, pizza"
62,Vino Rectoral de Amandi,Tintos,D.O Ribeira Sacra,"0,75L",Mencía,Sin crianza,Rojo cereza con ribete violáceo,Fruta madura y los varietales de la uva mencía,"Intenso y equilibrado, con vía retronasal intensa","Carnes, caza, pescado y gastronomía gallega"
63,Vino Marqués de Riscal,Tintos,D.O Rioja,"0,75L","Graciano,Mazuelo,Tempranillo",24 meses en barrica de roble americano,Cereza intenso,"Notas de regaliz, canela, pimienta negra y fruta madura","Fresco, con taninos pulidos, final largo y recuerdos balsámicos","Jamón, quesos no muy curados, guisos, legumbres, aves, carnes rojas, a la parrilla y asados"
64,Vino El Coto,Tintos,D.O Rioja,"0,75L",Tempranillo,12 meses en barrica de roble americano y 6 meses mínimo en botella,Cereza brillante limpio con borde granate,"Fruta, vainilla y roble tostado",Sedoso y persistente,"Carnes, pescados, quesos o ibéricos"
65,Vino Sangre de Toro,Tintos,D.O Cataluña,"0,375L","Cariñena,Garnacha",6 meses en barrica de roble americano y francés,Cereza picota,Aromas frutas rojas y toque sutil de crianza en barrica de roble,Aterciopelado y persistente con taninos redondos,"Estofados, caza, paellas de carne y cocina tradicional de montaña"
66,Vino Soldepeñas,Tintos,D.O Valdepeñas,"0,75L","Tempranillo,Garnacha",Sin crianza,Rojo granate,Aroma afrutado,Agradable paso por boca y armónico postgusto,"Carnes, arroces y patés"
67,Vino Monólogo,Tintos,D.O Rioja,"0,75L",Tempranillo,12 meses en barrica de roble francés y americano   ,Rojo granate brillante,Fruta roja madura y aromas del paso por barrica,"Entrada amable, estructurado y pulido","Carnes rojas, cordero, caza y quesos "
68,Vino Las Reñas,Tintos,D.O Bullas,"0,75L","Syrah,Cabernet sauvignon,Monastrell,Tempranillo",4 meses en barrica,Granate picota intenso,"Intenso, frutas rojas y negras, con fondo de madera, tostado y minerales","Cuerpo medio, agradable, equilibrado y expresivo","Carnes rojas, caza, jamón, guisos y quesos curados"
69,Vino Señorío de los Llanos,Tintos,D.O Valdepeñas,"0,75L",Tempranillo,Sin crianza,Rojo rubí intenso con ribete violáceo,Aromas a frutas negras y especias,Taninos dulces y equilibrados que aportan frescura,"Pastas, legumbres, embutidos, fiambres y carnes a la plancha"
70,Vino Les Alcusses,Tintos,D.O Valencia,"0,75L","Petit verdot,Cabernet sauvignon,Monastrell,Garnacha",8 meses en barrica de roble francés,Intenso color picota con reflejos violáceos y ribete rubí,Fruta negra y roja con notas especiadas provenientes de la crianza,"Intenso, con volumen, buena acidez con taninos agradables, maduros y final largo","Arroces, pastas, verduras, pollo, carnes rojas, pescado azul"
71,Vino Legaris,Tintos,D.O Ribera del Duero,"0,75L",Tempranillo,3 meses en barrica de roble americano,Rojo púrpura con tonos azulados,"Fruta roja madura, con finos matices de vainilla de la crianza","Goloso, equilibrado y redondo","Carnes blancas, pastas, ensaladas, tapas y quesos frescos"
72,Vino Alcanta,Tintos,D.O Alicante,"0,75L","Monastrell,Tempranillo",12 meses en barrica de roble americano y francés y 12 meses en botella,Cereza granate intenso,"Frutas maduras, frutos secos, y especias","Carnoso, largo y fino","Carnes rojas, barbacoas, embutidos"
73,Vino Campo Viejo,Tintos,D.O Rioja,"0,75L",Tempranillo,18 meses en barrica de roble americano y francés,Rojo cereza ,"Cereza, ciruela, mora, arándano, romero, espliego, menta y regaliz","Frutas rojas, hierbas y especias, con taninos suaves","Embutidos, jamón ibérico de bellota y caza menor"
74,Vino Martín Berasategui,Tintos,D.O Rioja,,Tempranillo,12 MESES EN BARRICA DE ROBLE FRANCÉS,ROJO GRANATE CON TONOS BERMELLÓN,"AROMAS A ROSAS ROJAS, REGALIZ Y FRAMBUESA, CON NOTAS DE AVELLANA, CHOCOLATE Y CAFÉ CON VAINILLA","TIERNO, SUAVE Y REDONDO, CON FINAL MEDIO-LARGO Y MUY BIEN EQUILIBRADO","CARNES A LA PLANCHA, PLATOS ESTOFADOS Y QUESOS CURADOS"
75,Vino Cune,Tintos,D.O Rioja,"0,75L","Tempranillo,Garnacha",12 meses en barrica de roble americano,Granate con notas rosadas en el menisco,"Frutas rojas, fresas, frambuesas y grosellas, combinadas con vainilla y toffee","Paso suave, fino y elegante con tanino amable y ligera acidez","Carnes, pescados, quesos o ibéricos"
76,Vino El Miracle Mariscal,Tintos,D.O Valencia,"0,75L",Garnacha,8 meses en barrica de roble francés de segundo llenado,Cereza intenso con ribete púrpura luminoso,"Fruta roja, humo y minerales","Untuoso, con gran acidez y taninos marcados","Paella, asados y quesos semicurados"
77,Vino Bach ,Tintos,D.O Cataluña,"0,75L","Cabernet sauvignon,Tempranillo,Merlot",Sin crianza,Rojo intenso con ribetes azulados,"Frutos rojos, ciruela, notas balsámicas, especiadas y toque de cedro","Suave, envolvente, equilibrado con taninos suaves y buena persistencia","Verduras y carnes guisadas, pasta, arroces, embutidos y quesos"
78,Vino Coto de Imaz,Tintos,D.O Rioja,"0,75L",Tempranillo,18 meses en barrica de roble americano y 18 meses en botella,Cereza intenso con borde granate,"Potente, complejo, fruta madura y cacao fino","Carnoso, aterciopelado con taninos maduros y buena acidez","Carnes rojas, ternera y caza"
79,Vino Viña Albali,Tintos,D.O Valdepeñas,"0,375L",Tempranillo,12 meses en barrica de roble americano y entre 2-3 años en botella,Rojo cereza intenso,"Vainilla, chocolate, especias y frutas en compota",Agradable y suave con buena expresión tánica y final suave y prolongado,Carnes a la brasa y quesos manchegos
80,Vino Enrique Mendoza,Tintos,D.O Alicante,"0,75L","Monastrell,Merlot",12 meses en barrica de roble francés y americano,Rojo rubí con reflejos granates,"Fruta roja madura, notas de crianza y hierbas","Buena entrada, redondo, con taninos finos y elegantes","Carnes rojas, caza, guisos, arroces"
81,Vino Cop de Vent,Tintos,D.O Empordà,"0,75L","Cabernet sauvignon,Merlot",Sin crianza,Morado con reflejos azulados,"Fruta roja madura, pimiento confitado, violetas y pimienta negra",Estructurado con taninos maduros y final redondo,"Carnes, quesos "
82,Vino Roble Dehesas Viejas,Tintos,D.O Ribera del Duero,,Tempranillo,6 meses en barricas de roble americano y 6 meses en botella,Carmín brillante muy potente con reflejos púrpura,"Aroma a fruta madura, especias dulces, regaliz y granos de café tostados","Fresco y sabroso, con taninos y acidez bien integradas. Final afrutado con notas especiadas","Chuletas de cordero, empanadas, quesos curados y semicurados "
83,Vino Faustino I,Tintos,D.O Rioja,"0,75L","Graciano,Mazuelo,Tempranillo",26 meses en barrica de roble francés y americano,Rubí con evolución granate,Complejo y elegante con toques de fruta y especias,Sedoso y elegante con notas procedentes del paso por barrica,"Carnes, setas a la plancha pescados grasos, quesos y arroces"
84,Vino Santes,Tintos,D.O Montsant,"0,75L","Syrah,Cabernet sauvignon,Tempranillo,Merlot,Garnacha",Sin crianza,Rojo denso con ribete violáceo,Frutos rojos y regaliz,"Voluminoso, goloso y taninos suaves","Carnes rojas a la brasa, guisos de carne, pastas"
85,Vino Jardins,Tintos,D.O Empordà,"0,75L","Cabernet sauvignon,Merlot,Garnacha",Sin crianza,Granate brillante,"Afrutado, floral, intenso y muy envolvente","Redondo, fresco, equilibrado y buen paso por boca","Carnes, quesos, setas"
86,Vino Hécula,Tintos,D.O Yecla,"0,75L",Monastrell,6 meses en barrica de roble francés y americano    ,Cereza intenso y brillante,Frutos rojos maduros y especias dulces,"Equilibrado y fresco, con taninos suaves, de final largo y bien estructurado","Pollo a la parrilla, estofados, carnes rojas, arroces, caza"
87,Vino Barón de Turís,Tintos,D.O Valencia,"0,75L","Monastrell,Tempranillo",12 meses en barrica de roble americano y 12 meses en botella,Picota con matices teja,Frutas rojas maduras y matices especiados,"Equilibrado y redondo con taninos dulces, final sedoso, lleno y elegante","Carnes rojas, caza, asados, magret de pato, embutidos y quesos fuertes"
88,Vino Gran Castillo,Tintos,D.O Utiel-Requena,"0,75L",Bobal,Sin crianza,Rojo rubí intenso con reflejos violáceos,Frutas roja maduras,"Fresco, equilibrado y con buen paso por boca","Carnes a la plancha, pescados en salsa, arroces, pastas y tapas"
89,Vino Alcanta,Tintos,D.O Alicante,"0,75L","Cabernet sauvignon,Monastrell,Tempranillo",Sin crianza,Cereza granate,"Fresco y afrutado con notas de especias, frutos negros y balsámicos",Cuerpo medio y afrutado,"Carnes, embutidos, quesos y arroces"
90,Vino Mestizaje,Tintos,D.O El Terrerazo,"0,75L","Bobal,Cabernet sauvignon,Tempranillo,Merlot,Garnacha",10 meses en barrica de roble francés,Rojo cereza picota,"Fruta roja, ligeros toques torrefactos, caramelo, regaliz y chocolate","Dulce, de cuerpo medio, taninos presentes con final fresco y largo","Cocina asiática, pastas, arroces, embutidos, caza menor, setas, ensaladas o aperitivos"
91,Vino Flavium,Tintos,D.O Bierzo,"0,75L",Mencía,18 meses en barrica de roble americano,Rojo teja,Potente y fino,Bien estructurado con taninos elegantes,"Carnes, pescados azules, asados, quesos curados"
92,Vol i Dol,Tintos,D.O Cataluña,,"Merlot,Tempranillo",Sin crianza,Rojo cereza intenso con tonos rubí muy brillante y nítido,"Frutos rojos, ciruela, notas balsámicas, especiadas y toques de cedro","Entrada suave, envolvente con grato recuerdo a fruta confitada, Equilibrado, cálido y con taninos suaves y buena persistencia","Verduras y carnes a la plancha, pasta, pescados grasos, arroces, embutidos y quesos semicurados"
93,Castillo de Albai Reserva,Tintos,D.O Rioja,,Tempranillo,18 MESES EN BARRICA DE ROBLE AMERICANO Y 18 MESES EN BOTELLA,CEREZA DE CAPA ALTA,"AROMAS A FRUTA CONFITADA, CACAO Y NOTAS SUTILES A MADERA NOBLE.","SABROSO, REDONDO, EQUILIBRADO, ELEGANTE, COMPLEJO Y DE POSTGUSTO LARGO.","TODO TIPOS DE CARNES, GUISOS, QUESOS CURADOS O PLATOS SUCULENTOS."
94,Vino Castillo de Lliria ,Tintos,D.O Valencia,"0,75L","Bobal,Syrah",Sin crianza,Cereza intenso,Frutos rojos,Buen equilibrio entre acidez y componentes tánicos,"Arroces, salchichas, carnes y quesos"
95,Vino Viña del Mar,Tintos,D.O Cataluña,"0,75L","Cariñena,Tempranillo",Sin crianza,Rojo cereza con reflejos rubí,Aromas a fruta madura,Carnoso y bien estructurado con retro nasales francas y armónicas,Carnes y estofados de la cocina mediterránea
